"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: impl","Param: iterations"
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Eden_Space.norm","avgt",1,5,222256.342532,493122.303398,"B/op",VIEW,20
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Survivor_Space","avgt",1,5,0.022523,0.153131,"MB/sec",VIEW,20
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Survivor_Space.norm","avgt",1,5,8.084029,55.689383,"B/op",VIEW,20
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.count","avgt",1,5,4.000000,NaN,"counts",VIEW,20
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.time","avgt",1,5,86.000000,NaN,"ms",VIEW,20
"org.neo4j.graphalgo.bench.PageRankBenchmark.run","avgt",1,5,1203.384427,878.157244,"us/op",VIEW,100
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.alloc.rate","avgt",1,5,546.755917,351.435331,"MB/sec",VIEW,100
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.alloc.rate.norm","avgt",1,5,1015147.027163,4546.162062,"B/op",VIEW,100
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Eden_Space","avgt",1,5,488.041296,1743.219620,"MB/sec",VIEW,100
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Eden_Space.norm","avgt",1,5,986715.273483,3508965.367961,"B/op",VIEW,100
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Survivor_Space","avgt",1,5,0.006247,0.053793,"MB/sec",VIEW,100
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Survivor_Space.norm","avgt",1,5,15.175309,130.663984,"B/op",VIEW,100
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.count","avgt",1,5,3.000000,NaN,"counts",VIEW,100
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.time","avgt",1,5,58.000000,NaN,"ms",VIEW,100
"org.neo4j.graphalgo.bench.UnionFindBenchmark._01_unbufferedUnionFind","avgt",1,10,3.693398,0.603959,"us/op",,
"org.neo4j.graphalgo.bench.UnionFindBenchmark._01_unbufferedUnionFind:·gc.alloc.rate","avgt",1,10,225.285880,35.797131,"MB/sec",,
"org.neo4j.graphalgo.bench.UnionFindBenchmark._01_unbufferedUnionFind:·gc.alloc.rate.norm","avgt",1,10,1296.006939,0.022133,"B/op",,
"org.neo4j.graphalgo.bench.UnionFindBenchmark._01_unbufferedUnionFind:·gc.churn.PS_Eden_Space","avgt",1,10,243.787729,598.883862,"MB/sec",,
"org.neo4j.graphalgo.bench.UnionFindBenchmark._01_unbufferedUnionFind:·gc.churn.PS_Eden_Space.norm","avgt",1,10,1488.999130,3674.245491,"B/op",,
"org.neo4j.graphalgo.bench.UnionFindBenchmark._01_unbufferedUnionFind:·gc.churn.PS_Survivor_Space","avgt",1,10,0.004165,0.019910,"MB/sec",,
"org.neo4j.graphalgo.bench.UnionFindBenchmark._01_unbufferedUnionFind:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,0.027962,0.133684,"B/op",,
"org.neo4j.graphalgo.bench.UnionFindBenchmark._01_unbufferedUnionFind:·gc.count","avgt",1,10,3.000000,NaN,"counts",,
"org.neo4j.graphalgo.bench.UnionFindBenchmark._01_unbufferedUnionFind:·gc.time","avgt",1,10,253.000000,NaN,"ms",,
"org.neo4j.graphalgo.bench.UnionFindBenchmark._02_bufferedUnionFind","avgt",1,10,0.424346,0.084727,"us/op",,
"org.neo4j.graphalgo.bench.UnionFindBenchmark._02_bufferedUnionFind:·gc.alloc.rate","avgt",1,10,595.593306,113.025859,"MB/sec",,
"org.neo4j.graphalgo.bench.UnionFindBenchmark._02_bufferedUnionFind:·gc.alloc.rate.norm","avgt",1,10,392.000726,0.002377,"B/op",,
"org.neo4j.graphalgo.bench.UnionFindBenchmark._02_bufferedUnionFind:·gc.churn.PS_Eden_Space","avgt",1,10,530.961187,690.890949,"MB/sec",,
"org.neo4j.graphalgo.bench.UnionFindBenchmark._02_bufferedUnionFind:·gc.churn.PS_Eden_Space.norm","avgt",1,10,367.620839,487.073317,"B/op",,
"org.neo4j.graphalgo.bench.UnionFindBenchmark._02_bufferedUnionFind:·gc.churn.PS_Survivor_Space","avgt",1,10,0.003124,0.014937,"MB/sec",,
