"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: concurrency","Param: impl","Param: iterations"
"org.neo4j.graphalgo.bench.UnionFindBenchmark._03_heavyGraphUnionFind:·gc.time","avgt",1,10,180.000000,NaN,"ms",,,
"org.neo4j.graphalgo.bench.UnionFindBenchmark._04_lightGraphUnionFind","avgt",1,10,1.090204,0.216573,"us/op",,,
"org.neo4j.graphalgo.bench.UnionFindBenchmark._04_lightGraphUnionFind:·gc.alloc.rate","avgt",1,10,326.761458,63.344590,"MB/sec",,,
"org.neo4j.graphalgo.bench.UnionFindBenchmark._04_lightGraphUnionFind:·gc.alloc.rate.norm","avgt",1,10,552.001875,0.006153,"B/op",,,
"org.neo4j.graphalgo.bench.UnionFindBenchmark._04_lightGraphUnionFind:·gc.churn.PS_Eden_Space","avgt",1,10,350.491389,684.124921,"MB/sec",,,
"org.neo4j.graphalgo.bench.UnionFindBenchmark._04_lightGraphUnionFind:·gc.churn.PS_Eden_Space.norm","avgt",1,10,590.067015,1158.733481,"B/op",,,
"org.neo4j.graphalgo.bench.UnionFindBenchmark._04_lightGraphUnionFind:·gc.churn.PS_Survivor_Space","avgt",1,10,0.003114,0.014887,"MB/sec",,,
"org.neo4j.graphalgo.bench.UnionFindBenchmark._04_lightGraphUnionFind:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,0.005172,0.024726,"B/op",,,
"org.neo4j.graphalgo.bench.UnionFindBenchmark._04_lightGraphUnionFind:·gc.count","avgt",1,10,4.000000,NaN,"counts",,,
"org.neo4j.graphalgo.bench.UnionFindBenchmark._04_lightGraphUnionFind:·gc.time","avgt",1,10,217.000000,NaN,"ms",,,
"org.neo4j.graphalgo.bench.UnionFindBenchmark._05_buildBufferedDataSource","avgt",1,10,5.740408,0.328716,"us/op",,,
"org.neo4j.graphalgo.bench.UnionFindBenchmark._05_buildBufferedDataSource:·gc.alloc.rate","avgt",1,10,460.970690,27.276104,"MB/sec",,,
