"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: concurrency","Param: impl","Param: iterations"
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Eden_Space","avgt",1,5,263.467416,1390.619424,"MB/sec",,VIEW,5
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Eden_Space.norm","avgt",1,5,56527.947196,299290.537150,"B/op",,VIEW,5
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Survivor_Space","avgt",1,5,0.371525,3.198938,"MB/sec",,VIEW,5
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Survivor_Space.norm","avgt",1,5,71.567853,616.220800,"B/op",,VIEW,5
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.count","avgt",1,5,2.000000,NaN,"counts",,VIEW,5
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.time","avgt",1,5,55.000000,NaN,"ms",,VIEW,5
"org.neo4j.graphalgo.bench.PageRankBenchmark.run","avgt",1,5,468.630922,376.865644,"us/op",,VIEW,20
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.alloc.rate","avgt",1,5,281.940411,200.408492,"MB/sec",,VIEW,20
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.alloc.rate.norm","avgt",1,5,204984.128782,1973.719309,"B/op",,VIEW,20
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Eden_Space","avgt",1,5,272.849501,1438.656683,"MB/sec",,VIEW,20
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Eden_Space.norm","avgt",1,5,211101.869810,1150468.878682,"B/op",,VIEW,20
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Survivor_Space","avgt",1,5,0.371819,3.201475,"MB/sec",,VIEW,20
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Survivor_Space.norm","avgt",1,5,345.962175,2978.838662,"B/op",,VIEW,20
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.count","avgt",1,5,2.000000,NaN,"counts",,VIEW,20
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.time","avgt",1,5,59.000000,NaN,"ms",,VIEW,20
"org.neo4j.graphalgo.bench.PageRankBenchmark.run","avgt",1,5,2307.315158,1258.221159,"us/op",,VIEW,100
